Name des Elements;Name des Elements (nach IUPAC);Symbol;Protonenzahl;Masse;Dichte;Schmelztemperatur;Sidetemperatur;Zahl natürlicher Isotope;Erste Ionisierungsenergie;Ionenradius;Kovalenzradius;Gitterenergie;linearer Ausdehungskoeffizient;Elastizitätsmodul;Elektronenkonfiguration;Kristallstruktur
Wasserstoff;Hydrogen;H;1;1,008  ;0,08;-259,0;-252,9;2;13,60;208;30;0,010;;0,02;1s;h
Helium;Helium;He;2;4,003  ;0,17;-272,0;-268,9;2;24,59;0;;0,001;;0,10;1s2;h
Lithium;Lithium;Li;3;6,941  ;0,53;180,5;1342,0;2;5,39;60;123;1,650;58,0;1,16;[He]2s;krz
Beryllium;Beryllium;Be;4;9,012  ;1,85;1278,0;2970,0;1;9,32;31;89;3,330;12,3;10,03;[He]2s2;h
Bor;Boron;B;5;10,811  ;2,34;2300,0;2550,0;2;8,30;20;81;5,810;;17,80;[He]2s2 2p;r
Kohlenstoff;Carbon;C;6;12,011  ;2,25;3650,0;4827,0;3;11,26;15;77;7,310;1,2;54,50;[He]2s2 2p2;h,d
Stickstoff;Nitrogen;N;7;14,007  ;1,17;-210,0;-195,8;2;14,53;171;70;0,060;;0,12;[He]2s2 2p3;ku
Sauerstoff;Oxygen;O;8;15,999  ;1,33;-219,0;-183,0;3;13,62;140;66;0,070;;;[He]2s2 2p4;O2
Fluor;Fluorine;F;9;18,998  ;1,58;-219,0;-188,1;1;17,42;136;64;;;;[He]2s2 2p5;or
Neon;Neon;Ne;10;20,180  ;0,84;-249,0;-246,0;3;21,56;0;;0,020;;0,10;[He]2s2 2p6;kfz
Natrium;Sodium;Na;11;22,990  ;0,97;97,8;883,0;1;5,14;95;157;1,130;71,0;0,68;[Ne]3s;krz
Magnesium;Magnesium;Mg;12;24,305  ;1,74;648,8;1107,0;3;7,65;65;136;1,530;26,0;3,54;[Ne]3s2;h
Aluminium;Aluminium;Al;13;26,982  ;2,70;660,4;2467,0;1;5,99;50;125;3,340;23,8;7,22;[Ne]3s2 3p;kfz
Silicium;Silicon;Si;14;28,086  ;2,33;1410,0;2355,0;3;8,15;41;117;4,640;7,6;9,88;[Ne]3s2 3p2;d
Phosphor;Phosphorus;P;15;30,974  ;1,82;44,1;280,0;1;10,49;212;110;0,540;124,0;3,04;[Ne]3s2 3p3;ku
Schwefel;Sulfur;S;16;32,065  ;2,07;119,0;2831,0;4;10,36;184;104;0,110;64,1;1,78;[Ne]3s2 3p4;or,m
Chlor;Chlorine;Cl;17;35,453  ;2,95;-101,0;-34,6;2;12,97;181;99;0,106;;;[Ne]3s2 3p5;or
Argon;Argon;Ar;18;39,948  ;1,66;-189,0;-185,7;3;15,76;0;;0,080;;0,16;[Ne]3s3 3p6;kfz
Kalium;Potassium;K;19;39,098  ;0,86;63,3;760,0;3;4,34;133;203;0,941;84,0;0,32;[Ar]4s;krz
Calcium;Calcium;Ca;20;40,078  ;1,54;839,0;1484,0;6;6,11;99;174;1,825;22,5;1,52;[Ar]4s2;kfz
Scandium;Scandium;Sc;21;44,956  ;2,99;1539,0;2831,0;1;6,54;81;144;3,930;;4,35;[Ar]3d 4s2;h
Titan;Titanium;Ti;22;47,867  ;4,51;1660,0;3287,0;5;6,82;7;132;4,855;9,0;10,51;[Ar]3d2 4s2;h
Vanadium;Vanadium;V;23;50,942  ;6,09;1890,0;3380,0;2;6,74;59;122;5,300;;16,19;[Ar]3d3 4s2;krz
Chrom;Chromium;Cr;24;51,996  ;7,14;1857,0;2672,0;4;6,77;52;118;4,100;7,5;19,01;[Ar]3d5 4s;krz
Mangan;Manganese;Mn;25;54,938  ;7,44;1244,0;1962,0;1;7,44;46;118;2,980;23,0;5,96;[Ar]3d5 4s2;krz
Eisen;Iron;Fe;26;55,845  ;7,87;1535,0;2750,0;4;7,87;64;116;4,290;12,0;16,83;[Ar]3d6 4s2;krz
Kobalt;Cobalt;Co;27;58,933  ;8,89;1495,0;2870,0;1;7,86;78;116;4,387;13,0;19,14;[Ar]3d7 4s2;h
Nickel;Nickel;Ni;28;58,693  ;8,91;1453,0;2730,0;5;7,64;78;115;4,435;12,8;18,60;[Ar]3d8 4s2;kfz
Kupfer;Copper;Cu;29;63,546  ;8,92;1083,4;2567,0;2;7,73;96;117;3,500;16,8;13,70;[Ar]3d10 4s;kfz
Zink;Zinc;Zn;30;65,390  ;7,14;419,6;907,0;5;9,39;74;125;1,350;26,3;5,98;[Ar]3d10 4s2;h
Gallium;Gallium;Ga;31;69,723  ;5,91;29,8;2403,0;2;6,00;62;125;2,780;18,0;5,69;[Ar]3d10 4s2 4p;or
